weekday,hours,exit_num,exit_name,latitude,longitude,action,total
1,0,15,New Jersey - I-287 - NJ Route 17 South,41.12133,-74.16283,entrance,89
1,0,15,New Jersey - I-287 - NJ Route 17 South,41.12133,-74.16283,exit,68
1,0,16,Harriman - US Route 6 - NY Route 17,41.31065,-74.12265,entrance,14
1,0,17,Newburgh - Scranton- I-84 - NY Routes 17K & 300,41.50947,-74.07446,entrance,68
1,0,17,Newburgh - Scranton- I-84 - NY Routes 17K & 300,41.50947,-74.07446,exit,54
1,0,18,New Paltz - Poughkeepsie - NY Route 299,41.73551,-74.0657,entrance,29
1,0,18,New Paltz - Poughkeepsie - NY Route 299,41.73551,-74.0657,exit,39
1,0,19,Kingston - NY Route 28 – Kingston-Rhinecliff Bridge,41.94764,-74.02749,entrance,44
1,0,19,Kingston - NY Route 28 – Kingston-Rhinecliff Bridge,41.94764,-74.02749,exit,51
1,0,20,Saugerties - Woodstock - NY Route 32,42.08306,-73.97328,entrance,30
1,0,20,Saugerties - Woodstock - NY Route 32,42.08306,-73.97328,exit,36
1,0,21,Catskill - Cairo - NY Route 23,42.25013,-73.88444,entrance,32
1,0,21,Catskill - Cairo - NY Route 23,42.25013,-73.88444,exit,28
1,0,21B,Coxsackie - Ravena - US Route 9W - NY Route 81,42.39365,-73.82495,entrance,15
1,0,21B,Coxsackie - Ravena - US Route 9W - NY Route 81,42.39365,-73.82495,exit,19
1,0,22,Selkirk - NY Routes 144 & 396,42.53415,-73.78411,entrance,14
1,0,22,Selkirk - NY Routes 144 & 396,42.53415,-73.78411,exit,21
1,0,23,Albany (Downtown) - Troy - Rensselaer - I-787 - US Route 9W,42.63289,-73.78142,entrance,136
1,0,23,Albany (Downtown) - Troy - Rensselaer - I-787 - US Route 9W,42.63289,-73.78142,exit,73
1,0,24,Albany - Montreal - I-90 East - I-87 North,42.69778,-73.84546,entrance,134
1,0,24,Albany - Montreal - I-90 East - I-87 North,42.69778,-73.84546,exit,115
1,0,25,Schenectady - I-890 - NY Routes 7 & 146,42.754,-73.93361,entrance,40
1,0,25,Schenectady - I-890 - NY Routes 7 & 146,42.754,-73.93361,exit,48
1,0,25A,Schenectady - Binghamton - I-88 - NY Route 7,42.79035,-74.01592,entrance,41
1,0,25A,Schenectady - Binghamton - I-88 - NY Route 7,42.79035,-74.01592,exit,44
1,0,26,Schenectady - Scotia - I-890 - NY Routes 5 & 5S,42.83812,-74.0126,entrance,24
1,0,26,Schenectady - Scotia - I-890 - NY Routes 5 & 5S,42.83812,-74.0126,exit,33
1,0,27,Amsterdam - NY Route 30,42.92295,-74.19648,entrance,31
1,0,27,Amsterdam - NY Route 30,42.92295,-74.19648,exit,47
1,0,28,Fultonville - Fonda - NY Route 30A,42.94476,-74.35976,entrance,23
1,0,28,Fultonville - Fonda - NY Route 30A,42.94476,-74.35976,exit,28
1,0,29,Canajoharie - Sharon Springs - NY Route 10,42.90697,-74.56224,entrance,5
1,0,29,Canajoharie - Sharon Springs - NY Route 10,42.90697,-74.56224,exit,19
1,0,29A,Little Falls - Dolgeville - NY Route 169,43.01657,-74.81745,entrance,11
1,0,29A,Little Falls - Dolgeville - NY Route 169,43.01657,-74.81745,exit,18
1,0,30,Herkimer - Mohawk - NY Route 28,43.01778,-74.98931,entrance,17
1,0,30,Herkimer - Mohawk - NY Route 28,43.01778,-74.98931,exit,32
1,0,31,Utica - I-790 - NY Routes 8 & 12,43.11198,-75.20499,entrance,59
1,0,31,Utica - I-790 - NY Routes 8 & 12,43.11198,-75.20499,exit,62
1,0,32,Westmoreland - Rome - NY Route 233,43.12388,-75.40102,entrance,26
1,0,32,Westmoreland - Rome - NY Route 233,43.12388,-75.40102,exit,31
1,0,33,Verona - Rome - Oneida - NY Route 365,43.12375,-75.5823,entrance,100
1,0,33,Verona - Rome - Oneida - NY Route 365,43.12375,-75.5823,exit,53
1,0,34,Canastota - Oneida - Chittenango - NY Route 13,43.0926,-75.7472,entrance,26
1,0,34,Canastota - Oneida - Chittenango - NY Route 13,43.0926,-75.7472,exit,26
1,0,34A,Syracuse - Chittenango - Oswego - I-481,43.09475,-76.04353,entrance,48
1,0,34A,Syracuse - Chittenango - Oswego - I-481,43.09475,-76.04353,exit,55
1,0,35,Syracuse - East Syracuse - NY Route 298,43.09278,-76.08985,entrance,32
1,0,35,Syracuse - East Syracuse - NY Route 298,43.09278,-76.08985,exit,41
1,0,36,Watertown - Binghamton - I-81,43.09458,-76.16788,entrance,75
1,0,36,Watertown - Binghamton - I-81,43.09458,-76.16788,exit,59
1,0,37,Syracuse - Liverpool - Electronics Parkway,43.10206,-76.18139,entrance,18
1,0,37,Syracuse - Liverpool - Electronics Parkway,43.10206,-76.18139,exit,31
1,0,38,Syracuse - Liverpool - County Route 57,43.11717,-76.21867,entrance,23
1,0,38,Syracuse - Liverpool - County Route 57,43.11717,-76.21867,exit,33
1,0,39,Syracuse - Fulton - I-690 - NY Route 690,43.1073,-76.2872,entrance,56
1,0,39,Syracuse - Fulton - I-690 - NY Route 690,43.1073,-76.2872,exit,74
1,0,40,Weedsport - Auburn - NY Route 34,43.06112,-76.56474,entrance,23
1,0,40,Weedsport - Auburn - NY Route 34,43.06112,-76.56474,exit,36
1,0,41,Waterloo - Clyde - NY Route 414,42.96744,-76.85294,entrance,70
1,0,41,Waterloo - Clyde - NY Route 414,42.96744,-76.85294,exit,43
1,0,42,Geneva - Lyons - NY Route 14,42.95489,-76.98206,entrance,28
1,0,42,Geneva - Lyons - NY Route 14,42.95489,-76.98206,exit,42
1,0,43,Manchester - Palmyra - NY Route 21,42.97874,-77.23343,entrance,17
1,0,43,Manchester - Palmyra - NY Route 21,42.97874,-77.23343,exit,34
1,0,44,Canandaigua - Victor - NY Route 332,42.9957,-77.3684,entrance,26
1,0,44,Canandaigua - Victor - NY Route 332,42.9957,-77.3684,exit,28
1,0,45,Rochester - Victor - I-490,43.00922,-77.43991,entrance,64
1,0,45,Rochester - Victor - I-490,43.00922,-77.43991,exit,80
1,0,46,Rochester - Corning - I-390,43.04775,-77.65387,entrance,58
1,0,46,Rochester - Corning - I-390,43.04775,-77.65387,exit,60
1,0,47,Rochester - LeRoy - I-490 - NY Route 19,43.02896,-77.96674,entrance,34
1,0,47,Rochester - LeRoy - I-490 - NY Route 19,43.02896,-77.96674,exit,39
1,0,48,Batavia - NY Route 98,43.01859,-78.18819,entrance,33
1,0,48,Batavia - NY Route 98,43.01859,-78.18819,exit,33
